,Month,City,Continent,Breakfast_Basket_USD
0,2025-10,New York,North America,16.18
1,2025-11,New York,North America,16.4
2,2025-12,New York,North America,17.02
3,2026-01,New York,North America,16.8
4,2026-02,New York,North America,16.82
5,2026-03,New York,North America,16.91
6,2025-10,New York,North America,16.18
7,2025-11,New York,North America,16.4
8,2025-12,New York,North America,17.02
9,2026-01,New York,North America,16.8
10,2026-02,New York,North America,16.82
11,2026-03,New York,North America,16.91
12,2025-10,New York,North America,16.18
13,2025-11,New York,North America,16.4
14,2025-12,New York,North America,17.02
15,2026-01,New York,North America,16.8
16,2026-02,New York,North America,16.82
17,2026-03,New York,North America,16.91
18,2025-10,New York,North America,16.18
19,2025-11,New York,North America,16.4
20,2025-12,New York,North America,17.02
21,2026-01,New York,North America,16.8
22,2026-02,New York,North America,16.82
23,2026-03,New York,North America,16.91
24,2025-10,New York,North America,16.18
25,2025-11,New York,North America,16.4
26,2025-12,New York,North America,17.02
27,2026-01,New York,North America,16.8
28,2026-02,New York,North America,16.82
29,2026-03,New York,North America,16.91
30,2025-10,New York,North America,16.18
31,2025-11,New York,North America,16.4
32,2025-12,New York,North America,17.02
33,2026-01,New York,North America,16.8
34,2026-02,New York,North America,16.82
35,2026-03,New York,North America,16.91
36,2025-10,New York,North America,16.18
37,2025-11,New York,North America,16.4
38,2025-12,New York,North America,17.02
39,2026-01,New York,North America,16.8
40,2026-02,New York,North America,16.82
41,2026-03,New York,North America,16.91
42,2025-10,New York,North America,16.18
43,2025-11,New York,North America,16.4
44,2025-12,New York,North America,17.02
45,2026-01,New York,North America,16.8
46,2026-02,New York,North America,16.82
47,2026-03,New York,North America,16.91
48,2025-10,New York,North America,16.18
49,2025-11,New York,North America,16.4
50,2025-12,New York,North America,17.02
51,2026-01,New York,North America,16.8
52,2026-02,New York,North America,16.82
53,2026-03,New York,North America,16.91
54,2025-10,New York,North America,16.18
55,2025-11,New York,North America,16.4
56,2025-12,New York,North America,17.02
57,2026-01,New York,North America,16.8
58,2026-02,New York,North America,16.82
59,2026-03,New York,North America,16.91
60,2025-10,New York,North America,16.18
61,2025-11,New York,North America,16.4
62,2025-12,New York,North America,17.02
63,2026-01,New York,North America,16.8
64,2026-02,New York,North America,16.82
65,2026-03,New York,North America,16.91
66,2025-10,New York,North America,16.18
67,2025-11,New York,North America,16.4
68,2025-12,New York,North America,17.02
69,2026-01,New York,North America,16.8
70,2026-02,New York,North America,16.82
71,2026-03,New York,North America,16.91
72,2025-10,New York,North America,16.18
73,2025-11,New York,North America,16.4
74,2025-12,New York,North America,17.02
75,2026-01,New York,North America,16.8
76,2026-02,New York,North America,16.82
77,2026-03,New York,North America,16.91
78,2025-10,New York,North America,16.18
79,2025-11,New York,North America,16.4
80,2025-12,New York,North America,17.02
81,2026-01,New York,North America,16.8
82,2026-02,New York,North America,16.82
83,2026-03,New York,North America,16.91
84,2025-10,Los Angeles,North America,15.26
85,2025-11,Los Angeles,North America,15.37
86,2025-12,Los Angeles,North America,15.3
87,2026-01,Los Angeles,North America,15.42
88,2026-02,Los Angeles,North America,15.72
89,2026-03,Los Angeles,North America,15.57
90,2025-10,Los Angeles,North America,15.26
91,2025-11,Los Angeles,North America,15.37
92,2025-12,Los Angeles,North America,15.3
93,2026-01,Los Angeles,North America,15.42
94,2026-02,Los Angeles,North America,15.72
95,2026-03,Los Angeles,North America,15.57
96,2025-10,Los Angeles,North America,15.26
97,2025-11,Los Angeles,North America,15.37
98,2025-12,Los Angeles,North America,15.3
99,2026-01,Los Angeles,North America,15.42
100,2026-02,Los Angeles,North America,15.72
101,2026-03,Los Angeles,North America,15.57
102,2025-10,Los Angeles,North America,15.26
103,2025-11,Los Angeles,North America,15.37
104,2025-12,Los Angeles,North America,15.3
105,2026-01,Los Angeles,North America,15.42
106,2026-02,Los Angeles,North America,15.72
107,2026-03,Los Angeles,North America,15.57
108,2025-10,Los Angeles,North America,15.26
109,2025-11,Los Angeles,North America,15.37
110,2025-12,Los Angeles,North America,15.3
111,2026-01,Los Angeles,North America,15.42
112,2026-02,Los Angeles,North America,15.72
113,2026-03,Los Angeles,North America,15.57
114,2025-10,Los Angeles,North America,15.26
115,2025-11,Los Angeles,North America,15.37
116,2025-12,Los Angeles,North America,15.3
117,2026-01,Los Angeles,North America,15.42
118,2026-02,Los Angeles,North America,15.72
119,2026-03,Los Angeles,North America,15.57
120,2025-10,Los Angeles,North America,15.26
121,2025-11,Los Angeles,North America,15.37
122,2025-12,Los Angeles,North America,15.3
123,2026-01,Los Angeles,North America,15.42
124,2026-02,Los Angeles,North America,15.72
125,2026-03,Los Angeles,North America,15.57
126,2025-10,Los Angeles,North America,15.26
127,2025-11,Los Angeles,North America,15.37
128,2025-12,Los Angeles,North America,15.3
129,2026-01,Los Angeles,North America,15.42
130,2026-02,Los Angeles,North America,15.72
131,2026-03,Los Angeles,North America,15.57
132,2025-10,Los Angeles,North America,15.26
133,2025-11,Los Angeles,North America,15.37
134,2025-12,Los Angeles,North America,15.3
135,2026-01,Los Angeles,North America,15.42
136,2026-02,Los Angeles,North America,15.72
137,2026-03,Los Angeles,North America,15.57
138,2025-10,Los Angeles,North America,15.26
139,2025-11,Los Angeles,North America,15.37
140,2025-12,Los Angeles,North America,15.3
141,2026-01,Los Angeles,North America,15.42
142,2026-02,Los Angeles,North America,15.72
143,2026-03,Los Angeles,North America,15.57
144,2025-10,Los Angeles,North America,15.26
145,2025-11,Los Angeles,North America,15.37
146,2025-12,Los Angeles,North America,15.3
147,2026-01,Los Angeles,North America,15.42
148,2026-02,Los Angeles,North America,15.72
149,2026-03,Los Angeles,North America,15.57
150,2025-10,Los Angeles,North America,15.26
151,2025-11,Los Angeles,North America,15.37
152,2025-12,Los Angeles,North America,15.3
153,2026-01,Los Angeles,North America,15.42
154,2026-02,Los Angeles,North America,15.72
155,2026-03,Los Angeles,North America,15.57
156,2025-10,Los Angeles,North America,15.26
157,2025-11,Los Angeles,North America,15.37
158,2025-12,Los Angeles,North America,15.3
159,2026-01,Los Angeles,North America,15.42
160,2026-02,Los Angeles,North America,15.72
161,2026-03,Los Angeles,North America,15.57
162,2025-10,Los Angeles,North America,15.26
163,2025-11,Los Angeles,North America,15.37
164,2025-12,Los Angeles,North America,15.3
165,2026-01,Los Angeles,North America,15.42
166,2026-02,Los Angeles,North America,15.72
167,2026-03,Los Angeles,North America,15.57
168,2025-10,Chicago,North America,14.49
169,2025-11,Chicago,North America,14.52
170,2025-12,Chicago,North America,14.86
171,2026-01,Chicago,North America,14.64
172,2026-02,Chicago,North America,14.83
173,2026-03,Chicago,North America,14.89
174,2025-10,Chicago,North America,14.49
175,2025-11,Chicago,North America,14.52
176,2025-12,Chicago,North America,14.86
177,2026-01,Chicago,North America,14.64
178,2026-02,Chicago,North America,14.83
179,2026-03,Chicago,North America,14.89
180,2025-10,Chicago,North America,14.49
181,2025-11,Chicago,North America,14.52
182,2025-12,Chicago,North America,14.86
183,2026-01,Chicago,North America,14.64
184,2026-02,Chicago,North America,14.83
185,2026-03,Chicago,North America,14.89
186,2025-10,Chicago,North America,14.49
187,2025-11,Chicago,North America,14.52
188,2025-12,Chicago,North America,14.86
189,2026-01,Chicago,North America,14.64
190,2026-02,Chicago,North America,14.83
191,2026-03,Chicago,North America,14.89
192,2025-10,Chicago,North America,14.49
193,2025-11,Chicago,North America,14.52
194,2025-12,Chicago,North America,14.86
195,2026-01,Chicago,North America,14.64
196,2026-02,Chicago,North America,14.83
197,2026-03,Chicago,North America,14.89
198,2025-10,Chicago,North America,14.49
199,2025-11,Chicago,North America,14.52
200,2025-12,Chicago,North America,14.86
201,2026-01,Chicago,North America,14.64
202,2026-02,Chicago,North America,14.83
203,2026-03,Chicago,North America,14.89
204,2025-10,Chicago,North America,14.49
205,2025-11,Chicago,North America,14.52
206,2025-12,Chicago,North America,14.86
207,2026-01,Chicago,North America,14.64
208,2026-02,Chicago,North America,14.83
209,2026-03,Chicago,North America,14.89
210,2025-10,Chicago,North America,14.49
211,2025-11,Chicago,North America,14.52
212,2025-12,Chicago,North America,14.86
213,2026-01,Chicago,North America,14.64
214,2026-02,Chicago,North America,14.83
215,2026-03,Chicago,North America,14.89
216,2025-10,Chicago,North America,14.49
217,2025-11,Chicago,North America,14.52
218,2025-12,Chicago,North America,14.86
219,2026-01,Chicago,North America,14.64
220,2026-02,Chicago,North America,14.83
221,2026-03,Chicago,North America,14.89
222,2025-10,Chicago,North America,14.49
223,2025-11,Chicago,North America,14.52
224,2025-12,Chicago,North America,14.86
225,2026-01,Chicago,North America,14.64
226,2026-02,Chicago,North America,14.83
227,2026-03,Chicago,North America,14.89
228,2025-10,Chicago,North America,14.49
229,2025-11,Chicago,North America,14.52
230,2025-12,Chicago,North America,14.86
231,2026-01,Chicago,North America,14.64
232,2026-02,Chicago,North America,14.83
233,2026-03,Chicago,North America,14.89
234,2025-10,Chicago,North America,14.49
